Language_ID,cluster5
abi,5
abk,2
aco,5
aeg,4
ain,2
akn,3
ala,2
alb,5
ame,1
amh,2
amp,1
ana,1
anc,3
ani,5
ao,1
apu,2
arc,2
arm,2
arp,3
asm,1
ata,4
awp,2
aym,2
bag,3
bam,1
baw,3
bco,4
bej,1
ber,3
bir,3
bkr,4
bma,4
bre,5
brm,1
bsk,2
bsq,1
bul,5
bur,2
cah,2
car,2
cax,5
cha,4
che,5
chk,2
chq,4
chv,2
cle,4
cmn,2
cnl,1
cnt,5
coo,5
cre,5
cub,2
cyv,4
dag,1
dgr,2
die,1
din,3
dio,3
dni,1
doy,3
dre,4
dyi,5
eng,5
epe,2
eve,2
ewe,3
ewo,3
fij,4
fin,5
fre,5
fur,1
fye,3
gar,2
gbb,3
geo,2
ger,5
goo,5
grb,3
grk,5
grw,1
gua,2
hai,1
ham,1
hau,3
haw,4
hin,2
hix,2
hmo,3
htc,5
hun,5
hup,5
hve,4
hzb,2
iaa,4
iba,3
igb,3
ijo,2
ik,4
ika,2
imo,1
ind,3
ing,2
irq,1
jak,4
jng,1
jpn,2
juh,3
kas,2
kay,2
kch,3
ker,3
ket,2
kew,1
kfe,3
kha,2
khm,3
kho,1
khs,3
kio,2
kkv,3
klm,5
klv,4
kmu,3
knd,2
knk,3
knm,1
knr,1
koa,2
kob,1
kor,2
krb,4
krd,2
krk,2
kro,4
kse,1
ksg,3
kty,2
kut,4
kwo,2
kws,5
kyl,3
lad,2
lah,1
lan,3
lat,5
lav,1
len,3
lep,1
lez,2
lit,5
lkt,1
lug,3
luo,3
luv,3
maa,4
mab,1
mak,4
mal,4
mao,4
map,2
mar,1
mau,5
may,3
mei,1
mgg,2
mku,1
mnd,5
mne,2
mrg,3
mrl,4
mro,3
mrt,5
mss,5
mum,3
mun,2
mxc,4
myi,5
nas,2
nav,1
ndy,3
new,1
nez,5
ngi,5
ngz,3
nht,5
niv,2
nko,3
non,3
nor,5
nti,5
ntu,2
nug,5
nun,3
ond,5
ood,4
orh,1
otm,4
pai,4
pau,2
pms,3
poh,3
pol,5
prh,1
prs,2
psh,2
pso,2
pur,5
qui,4
ram,1
rap,4
res,2
rom,5
ruk,4
rus,5
san,3
sdw,2
shk,2
sla,1
sml,4
snm,1
snt,1
som,2
spa,5
squ,4
sue,1
sup,1
svs,2
swa,3
tab,3
tag,4
tam,2
tel,2
ter,3
tgk,3
tgr,2
tha,3
tiw,5
tli,2
tne,3
ton,2
tru,5
tsi,4
ttn,3
ttu,2
tuk,4
tun,2
tur,2
tuv,2
una,1
ung,5
urk,1
usa,1
vie,3
wah,1
wao,2
wap,2
war,4
wch,5
wic,5
wiy,5
wlf,3
wma,3
wra,2
wrd,5
yag,5
yap,4
yaq,2
yar,1
ygr,1
yid,1
yim,1
yko,2
yor,3
yuc,1
yur,5
zan,3
zqc,2
zul,3
zun,2
